会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
株式会社ビートレーディング,0,株式会社ビートレーディングは、ビギグループの流通部門を担っている会社である。1985年8月ビギグループの流通部門および新規事業の開発を目的に発足。静岡県に4カ所の物流センターと研究所を設け、ビギグループ製品の迅速な流通に対応している。また、蘭の品種改良や栽培および販売を行っている。その他、ビギグループ各社の販促用カタログやパンフレット、ポスターなど美術印刷、帳票や伝票などを取り扱う。,"運輸・物流業界, 一般貨物輸送, 印刷",〒 153-0042 東京都目黒区青葉台1-19-14 BIGI中目黒ビル3階,1985/8/7,中村 公彦,"20,000,000円","今年求人を行なっている企業, マイナビ2025, ゾゾタウン(出店ショップ), マイナビ2023 (21年11月), 新卒採用企業(1年以内), 運送業, 2018(LIFE DESIGN出展社)",https://biz-maps.com/item/O2lgerXvYn,
グリーンエンジニアリング株式会社,0,グリーンエンジニアリング株式会社は、コンテナターミナル設備、各種荷役機器の修理工事及び点検整備、保守管理を行う。また、冷凍コンテナ修理及び点検整備、保守管理を行っている。その他、各種車両の修理工事及び点検整備、保守管理を行う。主な取引先は、東海運株式会社、伊勢湾海運株式会社、株式会社上組、山九株式会社、株式会社住友倉庫、株式会社辰巳商會などである。,"運輸・物流業界, 倉庫, 機械修理",〒 135-0064 東京都江東区青梅3-4-19青海流通センター1号棟南側3階,1972/3/21,赤坂 敏,"49,000,000円","今年求人を行なっている企業, マイナビ2025, マイナビ2023 (21年11月), 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県",https://biz-maps.com/item/WBlxWKVK18,
三井物産トレードサービス株式会社,0,三井物産トレードサービス株式会社は、三井物産グループの物流手配およびそれらの管理を手がけている企業である。おもな取り扱い業務として、海上、航空での輸送や通関の業務、在庫の管理や国内物流の管理などのほかに、コンプライアンスの確認や検査の確認、物品の輸送スケジュール調整および輸出入の改善提案なども手掛けている。,"運輸・物流業界, 運輸・物流業界, 倉庫, 倉庫, その他コンサルティング, その他コンサルティング",〒 100-8631 東京都千代田区大手町一丁目3番1号(JAビル23階),1975/3/7,松村　建彦,"100,000,000円","今年求人を行なっている企業, マイナビ2025, マイナビ2023 (21年11月), 会社説明会実施企業, 海外進出企業、海外取引, ランキング, 連結子会社が多い企業ランキング",https://biz-maps.com/item/mJY24VDnlM,
中央梱包運輸株式会社,0,中央梱包運輸株式会社は、運送・トラックチャーター事業、オフィス移転、引越しなど、人・ものを運送するさまざまな事業を行っている会社である。その他には、産業廃棄物の収集運搬事業、物流コンサルティングを行う物流アウトソーシングの事業を行っている。地域密着、迅速対応、高品質、低価格、安心・安全を充実させ、必要な時、必要なとき、必要な場所へ運送するよう心がけている。,"運輸・物流業界, 一般貨物輸送",〒 124-0023 東京都葛飾区東新小岩6-9-9,1996/10,磯山 喜一,"20,000,000円","東京都産業廃棄物協会, 運送業",https://biz-maps.com/item/L3Z7amW61O,
滝興運株式会社,0,滝興運株式会社は、一般区域貨物運送等を行う会社である。株式会社LIXIL物流、株式会社渡辺製作所等多数の取引実績を持つことが強み。アルミ建材、住宅器材をはじめ、鋼板・形鋼、制御盤、日用品などを輸送しており、スポット便、定期便、特殊輸送、電解水生成装置販売、ラッピングトラック等多様なサービスを提供している。,"運輸・物流業界, 一般貨物輸送",〒 124-0025 東京都葛飾区西新小岩4丁目9番31号,1969/2,小宮山 繁,"28,800,000円","第5回町工場見本市2019, 運送業",https://biz-maps.com/item/9oZ38jqbYq,
明和流通システム株式会社,0,明和流通システム株式会社は、発送代行・梱包・保管を行う会社である。大手運送会社との大口取引を長年行っているため、通常の発送費よりも安価で荷物を送る事を可能としている。また梱包費においても、弊社の梱包専門スタッフが行うので、短時間で多くの梱包が可能になり、人件費の削減につながっている。,"運輸・物流業界, 倉庫",〒 116-0011 東京都荒川区西尾久7-37-12,1970/4,鈴木 寿江,"13,000,000円","女性経営者企業, 女性経営者エメラルド倶楽部, 女性経営者, ダイバーシティ経営に力を入れている",https://biz-maps.com/item/5XY44A6oYE,
株式会社ユーロジャパンカーゴ,0,株式会社ユーロジャパンカーゴは航空・海上貨物運送代理店業および関連事業を展開する会社。航空貨物輸送をはじめ、海上貨物輸送、国内外陸上配送、国内外陸上配送など、幅広い運送業務を手がけている。世界27カ国にわたる実績を誇り、海外ネットワークと経験豊富なスタッフのきめ細かいオーダーメイドのサービスを提案している。,"空運, 海運",〒 150-0011 東京都渋谷区東3-15-8小澤ビル3階,2000/5/1,徳永 晋介,"10,000,000円",運輸・物流関連企業@関東,https://biz-maps.com/item/XyYKPM5a1g,
株式会社四葉観光バス,0,株式会社四葉観光バスは、観光バスの運行や貸切バスの提供を行っている会社である。テレビやビデオ、カラオケなどが装備されているバスなど用途に合わせての利用を可能にしている。イベントの送迎やゴルフコンペ、社員旅行など様々な場面で貸切バスの依頼を受けている。,"運輸・物流業界, バス",〒 121-0062 東京都足立区南花畑2-42-6,2005/6,高久 栄男,-,-,https://biz-maps.com/item/emldKrJQ1L,
新日本物流株式会社,0,新日本物流株式会社は、一般輸送事業・重量物輸送及び産業廃棄物収集運搬を行っている会社である。会社として品質・挨拶・協調の3つを主軸とした行動指針を定めている。この3つを重視することで、正しく安全なコスト効率が良いサービス提供の実現を図っている。また、全国規模のネットワークを持つため顧客の要望に対して迅速かつ正確に対応可能である。,"運輸・物流業界, 一般貨物輸送",〒 190-0012 東京都立川市曙町2-37-7 コアシティ立川12階,1979/11,松山 正一,"67,000,000円","ベンチャー投資企業, 学校施設・サービス, リサイクル・廃棄物処理, 事業所数を20拠点以上保有している企業, ISMS認証取得組織検索(クラウド), 労働者派遣事業, 旅行代理店, 物流, 東京倉庫協会, Wikipedia, 倉庫保有",https://biz-maps.com/item/V2lkLVxNZ5,
有限会社日の出運送,0,有限会社日の出運送は一般貨物自動車運送事業等を行う会社である。全国に180ヶ所の拠点を持つ国土交通省認可協同組合連合会「赤帽」の多摩支部として運営。買い物等で発生した大きな荷物の運搬や入退院時の身の回り品の運送に対応。官公庁や医療施設、問屋・商店等幅広く対応。スポット配送から定期便、引越しを取り扱う。,"運輸・物流業界, 一般貨物輸送, 引越し",〒 180-0023 東京都武蔵野市境南町5-4-2,1985/12,中野 顕,-,"運送業, 引っ越し業者・全国",https://biz-maps.com/item/D0YLJWm7l9,
荒木運送株式会社,0,荒木運送株式会社は、一般貨物の自動車輸送事業を主に行っている。産業廃棄物収集や、オフィス移転時の運搬も手がけており、地域密着型の丁寧な営業に定評がある。また様々なサイズの運搬車を保有し、細かな顧客ニーズへの柔軟な対応が強み。主な取引先は、八坂商事株式会社、コンタツ株式会社、株式会社渕上ファインズ等多数。,"運輸・物流業界, 一般貨物輸送, 引越し",〒 169-0075 東京都新宿区高田馬場3丁目46番9号,1966/1/21,荒木 貴幸,"10,000,000円","運輸・運送, 運送業",https://biz-maps.com/item/3MYnNj8dY7,
株式会社坂倉,0,株式会社坂倉は一般貨物自動車運送を行う企業である。3トンから10トンのクレーン搭載ユニック車を8台保有し、重量物・長物の取り扱いも可能。主な取扱品目は鋼材、レール、木材、住宅建材等。無事故無違反が評価され、全日本トラック協会より「安全性優良事業所」の認定を受けている。昭和28年創業で、60年以上の実績がある。,"運輸・物流業界, 重量物輸送, 一般貨物輸送",〒 132-0023 東京都江戸川区西一之江2丁目2番8号,1953/5/27,坂倉 正剛,"10,000,000円",運送業,https://biz-maps.com/item/qKYMExGVYg,
日興梱包運輸株式会社,0,日興梱包運輸株式会社は出荷業務の代行等を行う企業である。荷揃えや梱包また輸送などの出荷業務を請負う。防災用品・非常食については様々なニーズに合わせてパッケージングから輸送納品まで一括した提案を行う。また、物流倉庫の運営ではサンプル発送、文書保管サービスも提供するとともに木枠梱包や通関業務など幅広い業務を行っている。,"運輸・物流業界, 倉庫",〒 113-0033 東京都文京区本郷4丁目37番10号,/4,平石 雅紀,"30,000,000円","BtoB業種, PR・ブランディング支援, 学校施設・サービス, 運送業",https://biz-maps.com/item/yP1092ralM,
株式会社日成,0,株式会社日成は通関業務、輸出梱包業務などの物流サービスの会社である。その他、一般港湾運送事業や国際複合一貫輸送業、倉庫の管理なども行っている。また輸送に欠かせない高機能保冷材の販売も手掛けている。取引先は各企業の他、各公官庁と行なっており在外公館に向けた物資等の梱包・保管・輸送を一貫して行っている。,"運輸・物流業界, 倉庫",〒 108-0075 東京都港区港南3丁目5番16号港南日成ビル,1953/6/29,廣瀨 史雄,"100,000,000円","アジア進出企業, 海外進出企業、海外取引, 省エネ・節電, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 物流, 日本企業の中国ビジネス拠点, 東京倉庫協会, 倉庫保有, 上海日本商工クラブ(商社・流通), 一般社団法人日本倉庫協会, 倉庫保有",https://biz-maps.com/item/jg16aWXmY9,
株式会社細井商店,0,株式会社細井商店はトランクルーム、レジャー施設、通信販売など幅広く行っている。トランクルームはプライベートやオフィス関係での収納場所にはとっても便利で広さも選べる。ギフト用カン詰め製造機はイベントでの利用で販売促進につながる。レジャー施設では、東京、千葉でボウリング場やカラオケの4店舗の営業を行っている。,"運輸・物流業界, 倉庫",〒 124-0012 東京都葛飾区立石5丁目4番11号,1952/9/24,細井 信明,"29,600,000円",-,https://biz-maps.com/item/Vo1e9aqM1W,
株式会社マルノウチ,0,株式会社マルノウチは自動車の積載輸送・陸送等を行う会社である。創業時より実施しているトランスポートサービスとして新車・中古車のキャリアカー輸送を提供。デジタルタコグラフを全車両に導入し、省エネ運転を行う。また、中古車オークション会場の管理業務を受託。MDS事業では官公庁公用車のドライバー業務の受託を行う。,"運輸・物流業界, 一般貨物輸送",〒 102-0083 東京都千代田区麹町4丁目5番地紀尾井町アオキビル,1958/5/2,宮崎 幸正,"30,000,000円","人事部署直通@関東, 中途採用企業, 内部統制・コンプライアンス推進企業, CSRに力を入れている企業, キャンペーン実施企業, 学校施設・サービス, 中途採用を複数媒体で行っている企業, 【東京】総務・人事・経理Week2020, 労働者派遣事業, 旅行代理店, バブナビ(求人), はたらいく(運送), 人材派遣会社(職業紹介会社), 新製品・新技術開発助成事業, グリーン経営, 公共社団法人バス協会, リクナビNEXT(受付), 協会・組合, はたらいく",https://biz-maps.com/item/B2ZByEMGlV,
松坂運輸倉庫有限会社,0,松坂運輸倉庫有限会社は、貸ビル業及び運送業を行う会社である。貸ビル業においては、虎ノ門・麻布十番付近の好立地に数件のビルを保有している。東京トラック協会、東京ビルヂング協会、日本商工会議所、虎ノ門四丁目町会などの会員となっている。,"不動産, 不動産賃貸・仲介, 一般貨物輸送",〒 105-0001 東京都港区虎ノ門4-2-5 第3松坂ビル7階,1948/4,松坂 洋,"30,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県",https://biz-maps.com/item/85lWRWA51g,
武蔵野運送株式会社,0,武蔵野運送株式会社は貨物自動車運送事業等を行う会社である。「押入れ産業」と称したトランクルーム事業を展開。東京都・埼玉県・神奈川県のかく営業所にて家財等の出し入れが可能なレンタルスペースを提供。収納ラックの貸し出しや運送サービスにも対応。営業所の専用コンテナで保管を行う。月4500円から18000円まで5種類のコンテナを取り扱う。,"運輸・物流業界, 一般貨物輸送",〒 184-0002 東京都小金井市梶野町1-1-21,1950/11,清本 秋男,"20,000,000円","BtoB業種, グリーン経営認証トラック業者, 運輸・運送, 運送業",https://biz-maps.com/item/XJ1G6yp3YQ,
株式会社スリーエス・サンキュウ,0,株式会社スリーエス・サンキュウは、家電や家具の配送、産業廃棄物数週運搬、店舗配送など物流全般に関する事業を営む企業である。本社は東京にあるが、埼玉や神奈川、青森や岩手などの東北エリアにも事業所を展開している。社名のスリーエスとは、Safty(安全）・Speedy(迅速）・Security(確実）の3つのSを意味している。,"運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 104-0054 東京都中央区勝どき6丁目5-3 山九第2ビル1階,1951/6/20,森戸 浩司,"97,500,000円","今年求人を行なっている企業, マイナビ2025, 人事部署直通@関東, 求人ボックス(倉庫作業_東武東上線沿線), マイナビ2023 (21年11月), 第三者割り当て増資をしている企業, リサイクル・廃棄物処理, 事業所数を20拠点以上保有している企業, マイナビ2022(従業員300_500)@1都3県, doda(社宅・家賃補助制度)@東京都中央区, 平均年収.com(運輸・物流系企業子会社), ドライバー求人, 神奈川倉庫協会, 運送業, 倉庫保有",https://biz-maps.com/item/b7lQoOxJYr,
株式会社テクノライト,0,株式会社テクノライトは、物流事業を手がける企業である。東芝ライテック株式会社関連の販促品や補修部品の梱包・保管・配送を手がけている。また、販促展示台・照明器具の企画・製造、DM類の保管・梱包・配送も行っている。KeepSpeedKeepSmileをモットーにトータル物流サービスを行う。少人数ながら小回りのきく迅速さが強みである。,"運輸・物流業界, 倉庫",〒 134-0083 東京都江戸川区中葛西1丁目4番16号,1988/12,浅野 眞郎,"10,000,000円",楽天出店社,https://biz-maps.com/item/V2lkLAJeZ5,
共栄海運株式会社,0,共栄海運株式会社は、化学製品、肥料に関する輸入輸出業務、船舶代理店業務、傭船、売買船の仲介業務、集荷の代理業務、乗組員の派遣業務を行う会社である。日中韓を中心に重量物の輸送を不定期在来船を使用し、海上輸送を行っている。最大360万トンの重量貨物輸送などが強みである。主な取引先は、中国交通部、各地交通局、海運局、中国各港の港湾局などである。,"運輸・物流業界, 海運",〒 105-0004 東京都港区新橋2丁目20番15号新橋駅前ビル1号館9F,1996/5/6,-,"30,000,000円",運輸・物流関連企業@関東,https://biz-maps.com/item/oP1DMQjwlx,
株式会社ヤマゴ,0,株式会社ヤマゴは 一般貨物 ・産業廃棄物収集運搬 などを行う会社である。輸送品目や道路条件に対応した車輌にて輸送を行っている。中でも医療機器用品の搬入は専門分野であり、各方面で信頼を得ている。安全迅速に経験豊富なドライバーが輸送搬入業務を行っている。また倉庫管理業務も行っており、ラップ包装し、長期保管にも対応している。,"運輸・物流業界, 重量物輸送, 倉庫",〒 121-0824 東京都港区新橋5-13-4 YMG新橋ビル,1990/9/28,藤本 克彦,"28,000,000円","グリーン経営, 運輸・運送, 運送業",https://biz-maps.com/item/XyYKP5G31g,
有限会社チダサービス,0,有限会社チダサービスは、総合運送企業として、貨物運送、保管・発送業務、旅客運送を手掛ける会社である。一般貨物自動車運送事業では、ガス工事資材・自動車タイヤ・飲料水・食品・商業貨物便・食品油・防火資材・楽器・舞台セットなどを主に取り扱う。また、「ふくねこ交通・ふくねこばす」として小型バス、マイクロバス、ミニバスを所有し、貸切バス事業を行っている。,"運輸・物流業界, 一般貨物輸送, バス",〒 123-0872 東京都足立区江北7丁目18番11号,1987/6/20,千田 義博,"8,000,000円",-,https://biz-maps.com/item/qKYMEG45Yg,
有限会社小関商事,0,有限会社小関商事は一般貨物自動車運送業を展開する会社。2t平ボディーをはじめ、3tユニック、7tユニック、15tユニックなど、35台を保有しており、大きなものから小さなものまで、顧客の要望に合わせて効率の良い物流サービスを提案している。,"運輸・物流業界, 重量物輸送, 一般貨物輸送",〒 190-0034 東京都立川市西砂町3-66-3,2003/5/27,小関 藤一,"5,000,000円","運輸・運送, 運送業",https://biz-maps.com/item/WX1NmmP4Yj,
東日本タクシー株式会社,0,東日本タクシー株式会社はタクシー業務を行っている会社である。一般乗用旅客自動車運送事業、タクシーアド広告事業、自動車整備といった業務を行っていて、トヨタのコンフォート11台、クラウン2台、シエンタ20台、ノア1台、プリウス5台を保有している。顧客第一主義で地元市民の足として地域密着型の営業をしている。,"運輸・物流業界, タクシー",〒 194-0203 東京都町田市図師町1280,1998/9,稲垣 誠,"13,000,000円",FROM40(製造・設備・運輸系),https://biz-maps.com/item/O2lgooeEln,
有限会社エフティライン,0,有限会社エフティラインは、物流業・倉庫業を行う会社である。具体的には、チャーター便・定期便・東京都下配送に対応している。併せて、物流コンサルティングも行っており、現状の物流の見直し、コスト削減提案、経営・人事・賃金・労務コンサルティング等を行っている。低価格かつ高品質でサービスを提供している点が強みである。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 208-0011 東京都武蔵村山市学園1-10,2003/3/18,藤本 隆明,-,"グリーン経営, 運送業",https://biz-maps.com/item/vx1jKKqzlG,
有限会社サテライト,0,有限会社サテライトは、中古オフィス家具の販売などを行っている会社である。東京都狛江市に本社があり、買い取り業務やオフィス家具レンタルなども行っている。また、一般貨物運送事業や産業廃棄物収集運搬業なども行っている。楽天市場で商品の紹介を行っており、自社便配送限定商品なども紹介している、,"生活用品・嗜好品業界, オフィス用品, オフィス用品, 一般貨物輸送, 一般貨物輸送",〒 201-0004 東京都狛江市岩戸北3-11-3,2004/9,八木 均憲,"20,000,000円","楽天出店社, 楽天市場(インテリア・寝具・収納), 運送業, 楽天市場",https://biz-maps.com/item/V2lkooWNl5,
株式会社エムアンドワイ,0,株式会社エムアンドワイは、府中市を拠点に首都圏を網羅し、運送サービスを行う会社である。主要取引先は、株式会社ロジクエスト、佐川急便株式会社、株式会社テルモ、ディーエムソリューションズ株式会社、有限会社ドリームキャリー、有限会社中野商事、ファースト.リンク株式会社、プラスカーゴサービス株式会社、株式会社ビーエスロジスティクス、ヤマト運輸株式会社、ロジパルエキスプレス株式会社、福山通運株式会社、他。,"運輸・物流業界, 一般貨物輸送",〒 183-0002 東京都府中市多磨町2-19-3,2009/4,森田 雅之,"10,000,000円","SimplyHired(事務職募集×東京), indeed(事務職募集×東京), 求人ボックス(事務職募集企業×正社員×東京)",https://biz-maps.com/item/kDZryBdnlG,
株式会社丸加運送店,0,株式会社丸加運送店は、チャーター便、定期貸切便、タイムシェアー便、引越し等の配送サービスを行う会社である。チャーター便では、緊急を要する荷物や預かり時間・届け時間が決まっている荷物の配送に対応している。引越し配送サービスでは、スタンダード、パッキング、パーフェクト等、お客様の状況に合わせたプランを用意している。主要取引先に株式会社ムトウ、株式会社ヤザワ他多数。,"運輸・物流業界, 一般貨物輸送",〒 132-0023 東京都江戸川区西一之江3-12-30 シンコーポレーションビル3階,1954/12,菅谷 充透,"36,000,000円",運輸・運送,https://biz-maps.com/item/bdlAJ8rEZv,
鈴木運送株式会社,0,鈴木運送株式会社は貨物の自動車運送業を行う企業である。建築金物や店舗什器、看板などを中心に取り扱い、ソフトからハードな物まで対応し輸送運搬する。大型車やクレーン付き車両など各種車両を保有する。また、足立区の自社倉庫にて、一時保管や定期保管に対応した倉庫業も行っており、特大品の保管も可能である。そのほか、産業廃棄物の収集運搬も業務とする。,"運輸・物流業界, 重量物輸送, 倉庫",〒 144-0044 東京都大田区本羽田1丁目17番9号 山一石油ビル3F,/6/12,加川一江,"10,000,000円",-,https://biz-maps.com/item/vx1jOnwElG,
東日本急行株式会社,0,東日本急行株式会社は、一般貨物運送・倉庫業を行う。個人・企業向けPCや大型アミューズメント機器のセットアップ・メンテナンスなど、輸送・保管・作業工程を一括で請け負っている。また、物流センターを10拠点有しており、入出庫作業・仕分け・梱包等の加工作業も手がけている。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 143-0016 東京都大田区大森北1-17-4 太陽生命大森ビル7階,1971/4/1,重松 正利,"40,000,000円","倉庫保有, 新製品・新技術開発助成事業, 運送業, マピオン倉庫保有企業, google(キッティング 倉庫), Google検索, 倉庫保有",https://biz-maps.com/item/vx1jK7e3lG,
株式会社日興,0,株式会社日興は物流・セールスプロモーション事業をする会社である。物流に関するトータルサービス、セールスプロモーション、企画から運営・商品配送までを一貫したキャンペーン事業、食品梱包資材のトータルサポート、インターネットショップの運営を行う。セールスプロモーションでは、試飲試食販売を中心に様々な人材ニーズに対応。,"運輸・物流業界, 倉庫, 一般貨物輸送",〒 162-0826 東京都新宿区市谷船河原町6,1972/10,小島 徹,"10,000,000円","楽天出店社, BtoB業種, 運送業, ポンパレモール, ポンパレモール",https://biz-maps.com/item/3MYny5xbZ7,
光が丘運輸株式会社,0,光が丘運輸株式会社は、練馬区・新宿区の廃棄物運搬業務と産業廃棄物運搬業務を行う。東京都清掃局が行う清掃事業の廃棄物運搬の請負いや、清掃車・運転者･作業員等の供給に取り組む。また、練馬区の粗大ごみ中継業務、事業者用産業廃棄物運搬業務も手掛けている。長年に渡り地域の清掃美化に貢献し、適正価格での確かな仕事で信頼が厚い会社である。,"運輸・物流業界, 一般貨物輸送",〒 179-0076 東京都練馬区土支田1丁目24番15号,1965/3,横澤 正晴,"10,000,000円","省エネコンサルタント, リサイクル・廃棄物処理, 運輸・運送, 運送業",https://biz-maps.com/item/oelOxOe6ZA,
角川流通倉庫株式会社,0,角川流通倉庫株式会社は、都内近郊で物流加工・配送業務までのトータル物流ソリューションを提供している会社である。サービスとして、倉庫保管サービス（入庫・保管・商品管理・出庫）、配送センターサービス（ピッキング・流通加工・データ管理・保管発送作業）、物流加工サービス（梱包包装・検品・組み立てセット・シュリンク）を行っている。,"運輸・物流業界, 倉庫, 倉庫",〒 121-0836 東京都足立区入谷6-2-9 DLX足立,2007/4/1,角川 晃弘,"10,000,000円","スポーツチーム(スポンサー), 倉庫保有",https://biz-maps.com/item/qJ15EAz91P,
株式会社ロコム,0,株式会社ロコムは、総合物流サービスや倉庫管理・運営サービスなどを手掛けている会社である。東京都葛飾区に本社を置き、埼玉県三郷市や草加市などに複数の物流センターがある。多種多様な商品や現場に対応できるのが強みで、顧客からのニーズに幅広く応えている。倉庫管理をはじめ、商品管理や梱包、運送などを一貫しておこなっている。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 125-0042 東京都葛飾区金町3丁目3番1号,1999/1/6,白井 剛,"22,000,000円","BtoB業種, オフィスサービス, 3月決算企業(従業員30_100名)@東京・神奈川・千葉・埼玉, 運送業",https://biz-maps.com/item/0W1wmMKvZB,
株式会社KAGEYAMA Co.,0,株式会社KAGEYAMA Co.は、ダイレクトメール業務、保管・物流業務、梱包発送業務などを行う会社である。発送から倉庫保管までを手掛けており、物流のワンストップサービスを提供している。ダイレクトメールのノウハウと長年の梱包・発送の経験が強みであり、ダイレクトメールに関するコンサルティングやシステム開発も行っている。,"運輸・物流業界, 一般貨物輸送",〒 178-0062 東京都練馬区大泉町3丁目39番2号,/3,影山 正行,"10,000,000円",運送業,https://biz-maps.com/item/Vo1ekGamZW,
株式会社グローバル・サービス,0,株式会社グローバル・サービスは、主に運送業務を請け負う会社である。ネット通販等の宅配サービス、月極めで配送業務を行う専属契約サービス、単身者向けの引越サービス、エアコン等の組み立ても行う組立配送設置サービス、公共交通機関を利用したハンドキャリーサービス等、ニーズに合わせた様々な配送サービスを提供している。,"運輸・物流業界, 一般貨物輸送",〒 157-0077 東京都世田谷区鎌田3丁目18番14号2F,2000/4/6,佐藤 昌彦,-,"リクナビNEXT(海外出張あり), 今年求人を行なっている企業, リクナビ2025, 有料職業紹介事業@一都三県, リクナビNEXT掲載企業, 人材サービス総合サイト掲載@東京, ファクティ(ファクタリング会社), 職業紹介事業(令和4年～)@全国, リクナビNEXT(DX推進), DODA(マーケティング募集×年収700万円以上)@全国, 職業紹介事業者一覧(令和2年以降), リサイクル・廃棄物処理, 運送業",https://biz-maps.com/item/5XY4mGnw1E,
株式会社キュラーズ,0,株式会社キュラーズは、レンタル収納の所有と運営を行う。敷金・礼金・更新料や解約費などがかからない、使う側の立場に立った料金システムを実現している。また、ユーザーには専用キーがあり、早朝・深夜を問わず365日・24時間出入りや荷物の出し入りが自由にできるのが特徴である。万全のセキュリティシステムが張り巡らせてあるからこそできる、気軽に立ち寄れるトランクルームを提供している。,"運輸・物流業界, 倉庫",〒 141-0032 東京都品川区大崎3丁目5番2号,2001/8,スティーブ・スポーン,"10,000,000円","人事部署直通@関東, PRTIMES_2021年11月, PRTIMES (21年11月), 「くるみん」認定企業, コールセンター保有企業, CSRに力を入れている企業, 横浜市HP(PCB廃棄物保管等届け出_濃度不明), 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, エン転職(掲載日1126_1207)@東京, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, エン転職(掲載日0904~掲載日0910)@東京, 大阪勧業展2018出展企業, 人事ワールド, A8 net(グルメ・食品・学び・資格・不動産・引越・ギフト・スポーツ・趣味), Dream News",https://biz-maps.com/item/kDZrbPRzZG,
岡本物流株式会社,0,岡本物流株式会社は、独自開発のオンラインシステムにより、国内事業所及び海外事業所も含めたグローバルネットワークを展開している会社である。梱包から船積みまで、多彩なネットワークを活用し、顧客によりスピーディなサービスをご提供している。また、環境に配慮した「グリーン物流」を推進している。,"運輸・物流業界, 一般貨物輸送",〒 108-0022 東京都港区海岸3-26-1 バーク芝浦,/2,岡本 雅晴,"70,000,000円","ハローワーク(事務職採用×一都三県), 海外拠点保有企業@関東, 内部統制・コンプライアンス推進企業, CSRに力を入れている企業, 海外進出企業、海外取引, タイ・バンコク進出企業, 公益社団法人日本ロジスティクスシステム協会, 運送業, 一般社団法人日本倉庫協会, 一般社団法人国際フレイトフォワーダーズ協会, 協会・組合, 倉庫保有, バンコク日本人商工会議所",https://biz-maps.com/item/bkZRKnxPYB,
国際空港上屋株式会社,0,国際空港上屋株式会社は、国際航空貨物取扱事業等を行う会社である。航空貨物取り扱いのパイオニアとして内外から高い評価を受けてきた実績が強み。輸入貨物ハンドリングをはじめ、航空会社の輸出入ドキュメント業務受託、輸出貨物の受領・ULDビルドアップ・計量、旅客業務、緊急貨物取扱等多様なサービスを提供している。,"運輸・物流業界, 倉庫, その他業務請負",〒 103-0004 東京都中央区東日本橋1-1-7 野村不動産東日本橋ビル5F,/10,岡本 榮一,"300,000,000円","マイナビ2026(インターン募集企業×東京・千葉・神奈川検索), マイナビ転職(管理・事務×茨城・千葉検索), 空港関連業務代行の会社・企業, 今年求人を行なっている企業, マイナビ2025, ハローワーク(事務職採用×一都三県), マイナビ2023 (21年11月), BtoB業種, 海外進出企業、海外取引, 不動産サービス, マイナビ2022(従業員100_300名)@1都3県",https://biz-maps.com/item/RDZaNPvVYA,
株式会社カンロジ,0,株式会社カンロジは、一般港湾運送・通関・貨物運送取扱事業を行う。平成4年の創業以来、国際貿易に関わる港湾運送・通関業に専念している。海と陸を結ぶ業務を手がけることで、顧客の大切な貨物を、素早く安全に輸送している。主要取引先は、伊藤忠商事、三洋電機、旭硝子、AGCセラミックス、内外トランスライン、オーミケンシなど。,"運輸・物流業界, 海運, 倉庫",〒 140-0001 東京都品川区北品川三丁目3番5号Daiwa 品川御殿山ビル5階,1992/7,杉本雅彦,"93,000,000円","ジェトロ農林水産物(野菜・果実加工品), BtoB業種, 海外進出企業、海外取引",https://biz-maps.com/item/v91JJovA1K,
相川運送有限会社,0,相川運送有限会社は、運送業者である。主要取引物は、印刷物・白紙・出版物でさまざまな車種を取り扱い、配送内容に合った車両で配送する。また、決められた時間を工場間輸送する定期便コース・フリーのスポット輸送の2パターンを設ける。主な取引先は、株式会社DNP書籍ファクトリー、久栄社、ダイエーパッケージ。トナミ運輸などが挙げられる。,"運輸・物流業界, 一般貨物輸送",〒 134-0084 東京都江戸川区東葛西2-3-18柴ビル102号室,1966/11/8,相川宏之,-,"生産性向上IT導入企業, 運輸・運送, 運送業",https://biz-maps.com/item/WX1NnAb61j,
