会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせURL,問い合わせフォームURL
有限会社カワイチ,0,有限会社カワイチは、神奈川県川崎市を拠点に特殊鋼鋼材の輸送を請け負う企業である。関東を中心に東北や関西にも特殊鋼鋼材の輸送を行っており、クライアントのニーズに応じた安全かつ迅速な輸送サービスを提供し製品を目的地まで届けている。また、特殊鋼鋼材の輸送以外に産業廃棄物の収集運搬業務の依頼にも対応している。,"運輸・物流業界, 一般貨物輸送, 環境・廃棄物処理",〒 210-0861 神奈川県川崎市川崎区小島町2-7,1995/6/7,山口 拓真,"18,000,000円",リサイクル・廃棄物処理,https://biz-maps.com/item/XJ1GDnRDlQ,,https://kawaichi-biz.prm-ssl.jp/contact.html
株式会社横浜コンテナライン,0,株式会社横浜コンテナラインは、神奈川県横浜市でコンテナの販売や海運事業を展開する企業である。海上輸送用のコンテナ販売から貨物の海上輸送サービスまで請け負っており、顧客の大切な荷物を目的地まで安全かつ迅速に届けている。また、自社グループで海上輸送と陸上輸送を一貫して行うなど、物流業界を陰から支える役割も担っている。,"運輸・物流業界, 運輸・物流業界, 海運, 海運",〒 231-0023 神奈川県横浜市中区山下町195番地ラトゥールクォーファン3F,2000/3,久保 則之,"22,500,000円",運輸・物流関連企業@関東,https://biz-maps.com/item/XJ1GDJGRlQ,,https://www.ycl.co.jp/contact.html
株式会社サンリー,0,株式会社サンリーは、屋外コンテナBOXや屋内トランクルームのレンタル事業を行う会社である。24時間出し入れが自由なこと、全コンテナ平置きで車をコンテナの目の前まで付けられることが特徴である。引っ越し時の荷物・家財一時預かりや、企業の書庫倉庫にも活用できる。また中古販売も行っており、倉庫や事務所に適した様々な種類・大きさのコンテナを取り扱っている。,"運輸・物流業界, 倉庫, 太陽光パネル",〒 243-0203 神奈川県厚木市下荻野156番地,1991/5,遠藤 典孝,"10,000,000円","ソーラーパートナーズ, マピオン倉庫保有企業, 倉庫保有",https://biz-maps.com/item/vx1jQW30YG,,https://www.trunk-sunly.jp/contact
浅倉商事株式会社,0,浅倉商事株式会社は、神奈川県を拠点に全国への配送を手掛ける運送会社である。法令遵守、安全対策実施の証として「安全性優良事業所（Gマーク）」、環境対策に取り組む企業として「グリーン経営」の認証を取得している。経営理念として「従業員を守る」「安心安全」「社会への貢献」を掲げている。神奈川県トラック協会他3団体に所属している。,"運輸・物流業界, 機械輸送",〒 243-0203 神奈川県厚木市下荻野1430番地1,1985/9,浅生 建一,"10,000,000円","グリーン経営認証トラック業者, グリーン経営",https://biz-maps.com/item/jg16v7P919,,http://www.asakura-s.co.jp/contact.php
富士交通有限会社,0,富士交通有限会社は、地域密着のタクシー会社である。駅からの利用はもちろんのこと、無線での依頼にもスピーディーに配車手配が可能である。ビジネスや病院、冠婚葬祭等への移動手段など、さまざまな用途に活用できる。また、24時間配車に対応している。,"運輸・物流業界, タクシー",〒 226-0015 神奈川県横浜市緑区三保町2069番地,1958/8,加藤　幸輝,-,"タクシーサイト(全国で働けるタクシー会社), タクシー",https://biz-maps.com/item/L3Z7gXMjZO,,
横浜高速鉄道株式会社,0,横浜高速鉄道株式会社は、みなとみらい線を運行する鉄道事業を行う会社である。鉄道施設内における日用雑貨並びに飲食物等の販売を手掛ける。飲食業、広告業及び旅行業等のサービス業務にも携わる。不動産の売買・管理及び賃貸にも取り組む。横浜市・神奈川県・東京急行電鉄株式会社・三菱地所株式会社・株式会社日本政策投資銀行等が主要出資者である。,"運輸・物流業界, 鉄道",〒 231-0861 神奈川県横浜市中区元町1丁目11番地,1989/3/29,森　秀毅,"50,719,000,000円","今年求人を行なっている企業, マイナビ2025, CSRに力を入れている企業, キャンペーン実施企業, 展示会出展企業, 不動産サービス, wiki(マスコットキャラクター一覧), 3月決算企業(従業員30_100名)@東京・神奈川・千葉・埼玉, なっぷ, 監査法人クライアント, Wikipedia",https://biz-maps.com/item/qJ15ENgz1P,,
株式会社三栄運輸,0,株式会社三栄運輸は、一般貨物の運送事業を行っている企業である。長きにわたる自動車業界の物流業務経験と知識に裏付けされた物流プロフェッショナル陣営として、貨物輸送プランの作成並びコストダウンに関わるコンサルティングを手掛けており、自社保有倉庫における貨物の一時保管や梱包作業にも携わる。また品質マネジメントシステムISO9001：2000の認証を取得しており、信頼高い安心安全な運輸事業に邁進している。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 243-0424 神奈川県海老名市社家6-12-1,1977/5,三田 春樹,"50,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 運送業",https://biz-maps.com/item/qJ15EN8o1P,,http://san-ei-uny.co.jp/contact/
有限会社三原運輸商事,0,有限会社三原運輸商事は、一般貨物自動車運送事業を行っている会社である。その他にも自動車運送取扱事業や労働者派遣事業などを行っている。また、産業廃棄物収集運搬も行っている。フォークオペレーターなど作業員の派遣も行っている。一般派遣会社より派遣される従業員の数倍上を行く作業内容を提供する事が可能である。,"運輸・物流業界, 一般貨物輸送",〒 220-0209 神奈川県相模原市緑区三ケ木239番地2,1984/9/1,三原 輝美,"8,500,000円",-,https://biz-maps.com/item/WQ184xbj17,,
株式会社三昭運輸,0,株式会社三昭運輸は貨物自動車の運送、運搬、引越の事業を行う企業である。貨物自動車では、重量や重機の種類により大型ユニックや回送車等各種車両を所有している。また建設関連リースでは、敷板や保護板、側溝等工事用敷鉄板を見積の上取り扱っている。その他倉庫業及び梱包業、産業廃棄物の収集運搬処理の業務にも従事している。,"運輸・物流業界, 一般貨物輸送",〒 253-0106 神奈川県高座郡寒川町宮山2882番地1,1977/6/25,渡邉 一三,"10,000,000円","タウンワーク@東京23区_横浜市_川崎市, グリーン経営, 運送業",https://biz-maps.com/item/3MYnzqpJY7,,https://samukawa-sansho.com/contact/
株式会社ケー・ディー・エス,0,株式会社ケー・ディー・エスは、昭和60年設立の電気工事業や建築工事業などを行なう企業である。本社は相模原にあり金沢に営業所がある。神奈川県トラック協会や相模原電気工事協同組合などの団体に加盟している。主要取引先は家電量販店や住宅設備メーカーなど様々である。他に自動車運送取扱事業や産業廃棄物収集運搬業、太陽光発電システムなどあらゆることに取り組んでいる。,"運輸・物流業界, 機械輸送",〒 252-0232 神奈川県相模原市中央区矢部1丁目25番17号,1985/11/5,大塚 孝一,"30,000,000円","電材系商社(従業員10名以上), 地域貢献活動を推進している企業, CSRに力を入れている企業, リサイクル・廃棄物処理",https://biz-maps.com/item/WBlxQom4Z8,,http://www.kds-c.co.jp/inquiry/form/index.php
株式会社スタンダード運輸,0,株式会社スタンダード運輸は、一般貨物自動車運送業・自動車運送取扱業などを行っている会社である。運送業務は、確実で安全なサービス提供に尽力している。その他に、レンタカー事業・共同配送事業・リサイクル事業などを行っている。主な取引会社は、株式会社ウッドワン・旭光商運株式会社・安田倉庫株式会社などがある。,"運輸・物流業界, 一般貨物輸送",〒 243-0431 神奈川県海老名市上今泉3丁目2番33号,1972/4,小林 猛,"10,000,000円",運送業,https://biz-maps.com/item/WQ184OBy17,,https://stdun-co.jp/contact-2/
小林運輸株式会社,0,小林運輸株式会社は、一般貨物自動車運送事業を営んでいる会社である。道路の舗装に用いられるアスファルト合材やその材料である砕石、路盤材などの運搬を主に行っている。道路舗装工事に関する資材運搬やオペレーター業務において豊富な実績を持っている。産業廃棄物処理業も手掛けており、道路補修の際に発生した廃材の運搬も請け負っている。,"運輸・物流業界, 一般貨物輸送",〒 335-0026 埼玉県戸田市新曽南3-8-8,1956/12/27,木内 一宏,"81,600,000円","リクナビNEXT(小売業)@関東, リサイクル・廃棄物処理, 中途採用を複数媒体で行っている企業, 東京都産業廃棄物協会, リクナビNEXT(社宅・家賃補助制度あり), マイナビ転職(事務), 協会・組合, 事務職募集",https://biz-maps.com/item/V2lk8Pq2Z5,,http://kobayashi-un.co.jp/contact/
古屋運送株式会社,0,古屋運送株式会社は、一般貨物や貸物軽自動車等を運送する会社である。主なサービスに緊急配送や即日配送、貸切定期便等がある。また、全国を対象にペットを直行便、チャーター便等で輸送するサービスも行っている。全て24時間365日体制で受け付けており、全国の拠点から迅速に対応することができる。その他、特定信書便物配送業や小規模の引っ越し業にも携わっている。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 222-0011 神奈川県横浜市港北区菊名7丁目10番6号,1990/11,古屋 みどり,-,"グリーン経営認証トラック業者, グリーン経営, はたらいく",https://biz-maps.com/item/oelOdEKyZA,,https://www.furuya-exp.co.jp/form/index.html
株式会社大平興業舎,0,株式会社大平興業舎は主に、運送業務などを行なっている会社である。特にトレーラー輸送業務は全国の変電所、発電所、工場などへ重量物及び精密機械を輸送している。また、特殊車両の通過に必要な特殊車両通行許可申請及び運行に必要な誘導車両も自社で保有、誘導等も行なっている。その他、倉庫業務も手掛けている。,"運輸・物流業界, 重量物輸送, 倉庫",〒 212-0053 神奈川県川崎市幸区下平間32番地,1967/4,上原 正到,"10,000,000円","indeed(倉庫・作業員), 運送業, マピオン倉庫保有企業, 倉庫保有",https://biz-maps.com/item/emldLQWGlL,,http://www.taihei-kougyosha.co.jp/cgi-bin/form.cgi
ジャスト物流株式会社,0,ジャスト物流株式会社は建設資材等の配送などを行なっている会社である。また、山本商会株式会社の系列関連企業として展開している。主なエリアは関東地方を中心として建築土木・仮設資材などの運送を手掛けている。また、一般貨物自動車運送事業首都圏区域を取得している。その他、倉庫管理業務も行なっている,"運輸・物流業界, 重量物輸送, 倉庫",〒 210-0847 神奈川県川崎市川崎区浅田2丁目13番14号,1991/4,浅木 克眞,"90,000,000円","運送業, indeed(営業職・車通勤・社用車貸与), indeed",https://biz-maps.com/item/V2lkb52D15,,https://xjb-just.co.jp/contact/
有限会社結城商事輸送,0,有限会社結城商事輸送は、一般貨物自動車運送事業、保管倉庫取扱事業を行う。横浜、栃木、長野の営業所を起点に東北地方から中国地方までの広範囲にわたる輸送を行っており、長年にわたる中長距離輸送のノウハウを活かし、迅速な車両手配と安全確実な輸送を実現している。自社便により主に食品、食品原料、容器、空瓶などの輸送を手がける。,"運輸・物流業界, その他運輸・物流, 倉庫",〒 222-0011 神奈川県横浜市港北区菊名7丁目7番17号,1964/2/27,結城 恵美,"5,000,000円","健康経営優良法人2023(中小規模法人部門・ブライト500を除く)認定法人一覧, 運送業",https://biz-maps.com/item/jg16vx3m19,,
金港交通株式会社,0,金港交通株式会社は、タクシー・ハイヤー事業をしている会社である。横浜市2営業所を拠点にタクシー・ハイヤー109台で営業している。通常のタクシー業務のほか、横浜市内観光や羽田空港・成田空港への定額運賃サービスを行っていたり、24時間対応のオペレーターによる無線配車など、さまざまなサービスを提供している。,"運輸・物流業界, タクシー",〒 235-0001 神奈川県横浜市磯子区上町11番3号,/4/25,関 裕之,"60,000,000円","ハローワーク(事務職採用×一都三県), インスタ・Youtube活用企業",https://biz-maps.com/item/B2lvOLxXZV,,http://www.kinkou-taxi.co.jp/contact
丸泉興業株式会社,0,丸泉興業株式会社は、運送業を行う会社である。多種多様な車両をラインナップし、様々な輸送貨物に対応する。保有車両台数を確保し、物流セクションや大規模なプロジェクト輸送等をサポートする。建築建材や鉄鋼・鋼材輸送、食品輸送、飲料輸送、パルプ・ロール紙輸送を手がける。また、倉庫業を展開する。,"運輸・物流業界, 機械輸送",〒 210-0826 神奈川県川崎市川崎区塩浜4丁目7番1号,1977/2,鈴木 正則,"56,450,000円","indeed(倉庫・作業員), グリーン経営",https://biz-maps.com/item/3MYnz64gY7,,http://marusen-k.co.jp/contact
株式会社アルファ,0,株式会社アルファは、印刷業を行っている会社である。パンフレットやポスター、封筒やハガキなど各種印刷物に対応している。小ロットにも対応可能な作品集などの自費出版、経験豊富なスタッフによる編集サポートも含めた文芸誌や学術報告書の制作も請け負っている。印刷から倉庫保管、DM発送まで一貫した管理体制によるワンストップサービスを提供している。,"広告・制作業界, 印刷, 倉庫",〒 250-0001 神奈川県小田原市扇町5-25-23,/4,清水 裕子,"25,000,000円","全日本不動産協会登録企業@近畿・東海, 上場企業(PBR等の情報付加・名寄せ不可企業), 有料職業紹介事業@一都三県, 健康経営優良法人2023(中小規模法人部門・ブライト500を除く)認定法人一覧, 楽天出店社, ファインテックジャパン2021東京展(来場者), アイミツ",https://biz-maps.com/item/9oZ35Nyd1q,,https://alpha-pr.jp/contact/index.html
埼九運輸株式会社,0,埼九運輸株式会社は、一般貨物輸送と物流業務請負の会社である。24時間ドライバーが稼働していることと、九州への配送に強みがある。定期便・ルート配送・スポット便・専属ドライバー指名などのサービスを提供している。大型車100台を含む合計191台を保有している。本田技研工業・佐川急便・田中産業などが得意先である。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 350-1320 埼玉県狭山市広瀬東1丁目10番2号,1979/9,髙橋 秀樹,"10,000,000円","第16回東京総務・人事・経理Week2021(来場者), 働き方改革EXPO2021(来場者), 学校施設・サービス, 運送業",https://biz-maps.com/item/0mlz537B1O,,https://www.saikyu-recruit.com/contact
株式会社エムエスビー,0,株式会社エムエスビーは、一般貨物自動車運送事業などを行う会社である。物流サービスの種類は、コンテナ輸送・チャーター便・ 車両レンタル事業などを行う。社内の取り組みとして、社員教育・ECO運転・アルコールチェッカーツール搭載の最新iPhoneの配布などを行っている。グループ会社に、SPホールディングス株式会社などがある。,"運輸・物流業界, 一般貨物輸送",〒 354-0045 埼玉県入間郡三芳町上富991番地7,2015/12/7,渡邉 一矢,"30,000,000円","内部統制・コンプライアンス推進企業, 設立10年以内, 設立5年以内, TVCM放送企業, リサイクル・廃棄物処理, 不動産サービス, 運送業",https://biz-maps.com/item/L4lorL9Q1v,,https://www.msb-c.co.jp/smarts/index/3/
藤木企業株式会社,0,藤木企業株式会社は、港湾・倉庫荷役事業等を行う会社である。船内荷役・沿岸荷役を行う港湾荷役や倉庫荷役、倉庫業を行っている。また、土地・建物・船舶・車輌及び容器の賃貸業も手掛けている。横浜港の本牧地区・大黒地区と東京港に事業部があり、本牧ふ頭内に倉庫と上屋がある。,"運輸・物流業界, 運輸・物流業界, 倉庫, 倉庫, 海運, 海運",〒 231-0003 神奈川県横浜市中区北仲通2-14,1947/7/25,藤木 幸吉,"50,000,000円","今年求人を行なっている企業, リクナビ2025, 運輸・物流関連企業@関東, 求人ボックス(事務職×東京), BtoB業種, 物流, マピオン倉庫保有企業, 倉庫保有",https://biz-maps.com/item/O2lg8Mg2Zn,,http://www.fujikigroup.com/contact/
株式会社日吉回漕店,0,株式会社日吉回漕店は、メーカー等から届いた資材を独自の生産・出荷計画によって保管倉庫に出荷し、自主管理を行う会社。メーカーと情報を共有し、多品種の副原料等を一括管理する。その他、大型荷役機械や大型トレーラー等の、各種貨物の引き取りと配送等にも対応する。大正3年に創業以来、培ってきた経験と最新の機材や技術で高品質なサービスを提供する。,"運輸・物流業界, 運輸・物流業界, 倉庫, 倉庫",〒 231-0013 神奈川県横浜市中区住吉町6丁目66番地日吉ビル2階,1948/1,加賀美 公一,"100,000,000円","ハローワーク(事務職採用×一都三県), youtube, マピオン倉庫保有企業, 倉庫保有",https://biz-maps.com/item/x6YVmMP4ZB,,
トナミ国際物流株式会社,0,トナミ国際物流株式会社は、一般港湾運送事業、通関業、国際複合一貫輸送貨物取扱業、荷造梱包業、船舶及び航空代理業、損害保険代理店、貨物利用運送事業を行う会社である。自動車車両および関連貨物に加え、工業用部品や原材料、家具や衣料品などの輸出入貨物を幅広く取り扱う。平成24年5月17日付にて、横浜税関長よりAEO制度における「認定通関業者」としての認定を受けている。,"運輸・物流業界, 運輸・物流業界, 海運, 海運",〒 231-0023 神奈川県横浜市中区山下町23番地日土地山下町ビル7階,1953/4/14,古石 吉秀,"60,000,000円","人事部署直通@関東, 内部統制・コンプライアンス推進企業, 海外進出企業、海外取引, 運送業, 一般社団法人国際フレイトフォワーダーズ協会, マピオン倉庫保有企業, 協会・組合, 倉庫保有",https://biz-maps.com/item/mJY2yQe9ZM,,https://www.tglc.co.jp/contact/
日新梱包株式会社,0,日新梱包株式会社は、梱包業や荷役作業用の器具、器材、消耗品の仕入れ、販売および斡旋などを行う会社である。その他一般運送業や貨物の荷捌ならびに管理業や、貨物利用運送なども幅広く行っている。木箱梱包やスキッド梱包をはじめ、重量物機械梱包、スチール梱包、木枠梱包などを幅広く行う。,"運輸・物流業界, 倉庫, 機械輸送",〒 231-0015 神奈川県横浜市中区尾上町6丁目81番地ニッセイ横浜尾上町ビル6階,1958/11,折原　邦男,"20,000,000円",海外進出企業、海外取引,https://biz-maps.com/item/L3Z7gxQ6ZO,,https://www.nissinkonpou.co.jp/contact/
株式会社メイショクホールディングス,0,株式会社メイショクホールディングスは、グループ会社の経営管理や乳製品の卸販売などを行う会社である。乳製品をメインに食品の物流や卸を手掛けており、果実や野菜を使用したアイス「スルー」ブランドの販売も行っている。,"商社業界, その他食品専門商社, 一般貨物輸送",〒 231-0023 神奈川県横浜市中区山下町2番地 産業貿易センタービル4階,1952/6,千葉 高志,"97,500,000円",-,https://biz-maps.com/item/mJY2y6ydZM,,https://www.meishoku-hd.co.jp/contact/
武蔵貿易通関株式会社,0,武蔵貿易通関株式会社は、国際輸送や輸出梱包、通関業務等を行う会社である。航空輸送や海上輸送等の各種国際輸送を中心に行っている。要望に合わせて、エアサスシャーシを活用した輸送や温調輸送等にも対応している。また、輸出入に関する通関業務や港湾確認作業等も行っている。そのほか、輸出梱包作業やEPALパレットの輸入販売、梱包資材の販売等にも取り組んでいる。,"運輸・物流業界, 海運",〒 231-0016 神奈川県横浜市中区山下町108番地,1956/5,小林 篤史,"20,000,000円","BtoB業種, 海外進出企業、海外取引, 不動産サービス",https://biz-maps.com/item/D3YbVPJxYz,,https://www.musashi-bt.co.jp/japanese/%E6%8E%A1%E7%94%A8%E6%83%85%E5%A0%B1/
株式会社ポートサービス,0,株式会社ポートサービスは、クルージング事業を行う会社である。横浜観光名所山下公園・赤レンガ・みなとみらいより毎日就航する観光船｢マリーンシャトル｣、｢マリーンルージュ｣、｢シーバス｣を運営する。船内レストランでのサービス提供のほか、絵画展示会、ライブショーといったイベントの企画・開催を行う。その他、船上ウェディングやグッズの販売を手掛ける。,"運輸・物流業界, 海運, 自社型eコマース",〒 231-0023 神奈川県横浜市中区山下町2番地産業貿易センタービル7階,1953/7,-,-,赤字企業ランキング2019年@神奈川,https://biz-maps.com/item/WQ184kzP17,,https://www.portservice.jp/contact.html
平和交通株式会社,0,平和交通株式会社は、路線バス・貸切送迎バスの一般乗合旅客自動車運送事業を営む会社である。昭和49年9月1日設立。発車時刻までにバス停へ直接行く「直接タイプ」と、インターネットから予約をし、当日からバス停へ行く「事前予約タイプ」に対応。365日運行の日昼高速路線バスと、平日毎夜運行の深夜急行バスを用意する。,"運輸・物流業界, バス",〒 263-0054 千葉県千葉市稲毛区宮野木町577番1,/9/1,阿部 悦己,"30,000,000円","健康宣言に取り組む企業, バス事業者, 公共社団法人バス協会, 公益社団法人 日本バス協会, 協会・組合, バス",https://biz-maps.com/item/x6YV4kaRlB,,https://hk-grp.or.jp/smarts/index/95/
藤沢タクシー株式会社,0,藤沢タクシー株式会社は、タクシー事業を行う会社である。タクシー車両38台・福祉車両1台を保有している。通常の運行の他、貸切や割引・チケット契約・タクシー呼出専用電話等のサービスも提供している。また、観光タクシーとして藤沢・茅ヶ崎周遊コース・鎌倉周遊コース・雨天コース等のプランを設定している。,"運輸・物流業界, タクシー",〒 251-0015 神奈川県藤沢市川名1丁目9番27号,1940/8,根岸 茂登美,"10,000,000円",-,https://biz-maps.com/item/jVYqJL091J,,https://www.fujisawataxi.jp/contact/contact.php
反町運送有限会社,0,反町運送有限会社は、物流業務を行っている会社である。紙や飼料、肥料のトラック配送を請け負っている。また、発泡スチロールの配送や引っ越し作業、楽器運搬にも対応している。,"運輸・物流業界, 一般貨物輸送, その他不動産",〒 369-1105 埼玉県深谷市本田4278,1966/4,反町 秋夫,"3,000,000円",youtube,https://biz-maps.com/item/6p1Xj46dZN,,
株式会社タドコロ物流,0,株式会社タドコロ物流は、第一種利用運送事業や梱包発送事業を行う会社である。また、貨物運送取扱事業や軽貨物自動車運送事業、倉庫業および商品管理業、産業廃棄物収集運搬事業、一般廃棄物処理業、特別積み合わせ貨物運送事業等を担う。3PL業務では、常温・冷蔵・冷凍すべての温度で行っている。,"運輸・物流業界, 運輸・物流業界, 冷凍冷蔵車運行, 冷凍冷蔵車運行, 倉庫, 倉庫",〒 339-0011 埼玉県さいたま市岩槻区長宮300番地,/1,田所 徹也,"15,000,000円","求人・転職・中途採用情報(募集人数10名以上), バイトル掲載企業, 運送業, 一括.jp(物流倉庫), indeed(要普通免許), 一括.jp, アイミツ",https://biz-maps.com/item/WX1NeDaPYj,,http://tadokoro-buturyu.com/contact.html
シロキヤ株式会社,0,シロキヤ株式会社はアパレル製品の検品やアイロンプレスなどを行っている会社である。検品ではコンベア検針機やX線検査機を使用している。またアイロンプレスでは職人が一つ一つ手作業で仕上げている。検品で不良となった商品の補修も行っている。また商品の保管も可能でセキュリティ対策がしっかりとされている。2tトラックを保有しており、自社便にて配送可能である。,"アパレル・美容業界, アパレル, 倉庫",〒 343-0804 埼玉県越谷市南荻島2704番地4,/1,梅宮 誠治,"3,000,000円",-,https://biz-maps.com/item/b7lQOLdkYr,,http://shirokiya-press.jp/contact.html
埼玉高速鉄道株式会社,0,埼玉高速鉄道株式会社は主に鉄道事業を行っている会社である。埼玉スタジアム線を運行しており区間は赤羽岩淵から浦和美園である。駅数は8駅であるが、東京メトロ南北線や東急目黒線と相互乗り入れを合わせると浦和美園から日吉で運行している。埼玉スタジアム線とメトロ全線が乗り降り自由な乗車券や映画観賞券がついた乗車券などの顧客のニーズに合わせたお得な乗車券を販売している。,"運輸・物流業界, 鉄道",〒 336-0967 埼玉県さいたま市緑区美園4丁目12番地,1992/3/25,荻野 洋,"100,000,000円","今年求人を行なっている企業, リクナビ2025, スポーツチーム(スポンサー), アリーナ・スタジアム(各看板・広告協賛企業一覧), メディアレーダー, アクティブシニア活用, 内部統制・コンプライアンス推進企業, 交通広告・OOH代理店, 不動産サービス, MIKAZE(展示会2), Wikipedia",https://biz-maps.com/item/bdlARjPWZv,,https://www.s-rail.co.jp/contact/form.cgi
大徳運輸株式会社,0,大徳運輸株式会社は、運輸業を行う会社である。一般貨物の物流業をはじめ、流通加工業務全般、物流センターの運営管理、通販・商品管理作業の請負などを行っている。また、産業廃棄物の収集運搬も行っており他に倉庫業や通関代行業務、発送代行サービスも扱っている。関連会社に人材派遣等を行う株式会社ディーイングがある。,"運輸・物流業界, 一般貨物輸送",〒 340-0023 埼玉県草加市谷塚町1230-4,1969/4/1,相楽 俊一郎,"50,000,000円","ISO認定取得企業, リサイクル・廃棄物処理, 運送業",https://biz-maps.com/item/L4lodyqDZv,,https://www.daitoku21.co.jp/contact/form.html
国際埠頭株式会社,0,国際埠頭株式会社は、神奈川県で船舶の貨物上げ下ろしや貨物保管を行う会社である。本船荷役を荷主に代わり行っている。石炭や塩穀物や珪砂などばら積み貨物が中心である。重機を用いて内航船や艀ならびにトラック積みを行っている。一般倉庫をはじめ低温倉庫や穀物サイロ、野積み場などでの貨物保管や加工事業、貨車引き込み線による鉄道輸送を行っている。,"運輸・物流業界, 海運",〒 231-0814 神奈川県横浜市中区豊浦町3番地,1966/3,池田 尚,"1,800,000,000円","今年求人を行なっている企業, マイナビ2025, 運輸・物流関連企業@関東, 人事部署直通@関東, ハローワーク(事務職採用×一都三県), 第2種エネルギー管理指定工場, 地域貢献活動を推進している企業, 横浜市HP(PCB廃棄物保管等届け出_濃度不明), 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 物流, 神奈川倉庫協会, 一般社団法人日本倉庫協会, ランキング, 連結子会社が多い企業ランキング, 倉庫保有",https://biz-maps.com/item/Vo1eQM0K1W,,https://www.kokusaifuto.co.jp/contact/
吉川自動車運送株式会社,0,吉川自動車運送株式会社は、一般貨物自動車運送事業等を行う会社である。越谷、草加、三郷、川口、茨城県の石岡に拠点を構える地域密着の運送会社として、定期便やスポット便を提供している。また、店舗や建築現場への配送、軽貨物緊急便にも対応しており、急な案件への即対応・最短・最速配送、配送実績の多さ、長尺物への対応などを強みとしている。,"運輸・物流業界, 一般貨物輸送",〒 343-0824 埼玉県越谷市流通団地4丁目1番地4,1953/11/11,本間 秀一,"24,000,000円","運輸・交通システムEXPO(来場者), クラッチ(自動車整備士求人), 会社説明会実施企業, 地域貢献活動を推進している企業, カーワク(自動車整備士)@東京・神奈川以外, 学校施設・サービス, リサイクル・廃棄物処理, 運送業",https://biz-maps.com/item/oP1D6myDZx,,https://www.yoshikawa-trans.com/contact/
株式会社ハートロジスティクス,0,株式会社ハートロジスティクスは、貨物自動車運送事業等を行う会社である。物流を知り尽くしたからこそできるトータル・ソリューションを展開。質の高いサービスと全国ネットワークを活かし、新たなサービスを創造し続ける安心と信頼の物流サービスで、未来へ向けた、新しいロジスティクスのカタチを創り続けている。,"運輸・物流業界, 機械輸送",〒 338-0837 埼玉県さいたま市桜区田島9丁目10番8号,2005/6,太田 至計,"10,000,000円","事業所数を20拠点以上保有している企業, 運送業",https://biz-maps.com/item/3eYPpdnkYE,,
鷹ノ羽陸運有限会社,0,鷹ノ羽陸運有限会社は、一般貨物自動車運送等を事業とする会社である。緊急便・チャーター便・定期便・倉庫保管・特殊搬入出作業等を業務としており、埼玉県白岡市に本社を構え、栃木県にも支店を構えている。建築構造物・建築資材・産業機械・精密機械・食品加工機・厨房器具・工場設備・イベント資機材等といった商品を取り扱っている。,"運輸・物流業界, 重量物輸送, 重量物輸送, 機械輸送, 機械輸送",〒 349-0215 埼玉県白岡市千駄野598番地2,1990/10,高橋 正美,"20,000,000円","ドラEVER掲載企業, 運送業, ドラEVER掲載企業",https://biz-maps.com/item/x6YV3yWv1B,,https://takanoha-rikuun.jp/contact/
株式会社井上運送,0,株式会社井上運送は、主に運送を業務とする企業である。精密器の輸送や重量物・業務用厨房等の搬入・据付やレース鳩の輸送など、幅広く運送業務を行っている。運送事業では、配送の他に保管・入出庫・梱包・在庫管理も物流サービスとして行う。また、倉庫事業も手掛けており、引越時の荷物保管や企業の商品保管などを敷金等不要で請け負っている。,"運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 360-0025 埼玉県熊谷市太井1486-3,1971/2/6,井上 浩,"20,000,000円","スポーツチーム(スポンサー), グリーン経営, 運送業",https://biz-maps.com/item/V2lk8gN6Z5,,https://inoueunsou.co.jp/contact/
フクダ運輸倉庫株式会社,0,フクダ運輸倉庫株式会社は、運送事業を行う会社である。2t車や4t車をはじめ大型ウイングゲート車や宣伝媒体車などを所有し、主に企業向けの貸切一般貨物を取り扱う。また、コンサートツアーなどのイベントで使用される機材の全国配送や一般産業廃棄物の収集運搬業務にも対応する。その他引越し事業として「フクフク引越しセンター」を運営する。,"運輸・物流業界, 機械輸送, 引越し",〒 352-0023 埼玉県新座市堀ノ内3丁目9番33号,1988/9,福田 民男,"20,000,000円","youtube, リサイクル・廃棄物処理",https://biz-maps.com/item/x6YV3yGy1B,,https://www.h611597.bizloop.jp/w100507/est/?s=s1
