会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせURL,問い合わせフォームURL
株式会社トーデリー,0,陸上運送を行う会社,"運輸・物流業界, 一般貨物輸送",〒 343-0012 埼玉県越谷市大字増森1701番地,1964/8/31,小栗 善一郎,"35,000,000円",-,https://biz-maps.com/item/D0YL8gyrY9,,http://todery.co.jp/contact.html
有限会社清水運送,0,一般貨物自動車運送事業を行っている会社,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 231-0002 神奈川県横浜市中区海岸通4-20-1 ファインズビルみなとみらい5階,1988/4/1,豊山 英一郎,"21,300,000円",運送業,https://biz-maps.com/item/B2lvagpW1V,,https://web.gogo.jp/s-miz/jobform/staff
芙蓉交通株式会社,0,タクシーサービスを手掛ける会社,"運輸・物流業界, タクシー",〒 239-0836 神奈川県横須賀市内川1丁目7番65号,1963/7,八木 達也,"30,000,000円",-,https://biz-maps.com/item/B2ZB7d2GYV,,https://www.fuyobus.com/pages/3/
共立興産株式会社,0,冷凍車による菓子の輸送などを行う会社,"運輸・物流業界, 一般貨物輸送",〒 230-0051 神奈川県横浜市鶴見区鶴見中央2-17-22,1951/2,宮澤 弘一,"55,000,000円",グリーン経営,https://biz-maps.com/item/oelOdM8yZA,,https://www.kyoritsu-k.co.jp/cgi-bin/contact/
新東京運輸株式会社,0,関東圏へ鋼材や重機部材等の運搬を行う会社,"運輸・物流業界, 重量物輸送, 機械輸送",〒 230-0025 神奈川県横浜市鶴見区市場大和町5-14 ナイスアーバンスピリッツ鶴見市場ツー芦澤ビル401号,1996/3/19,長澤 磐,"98,500,000円",-,https://biz-maps.com/item/bdlAKK4QYv,,http://shintokyounyu.sunnyday.jp/mail.html
株式会社シーディーエス神奈川,0,スーパーや飲食店への食品輸送を行う会社,"運輸・物流業界, 一般貨物輸送",〒 221-0864 神奈川県横浜市神奈川区菅田町2335,1990/9,横山 豊,"30,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, はたらいく(運送), はたらいく",https://biz-maps.com/item/85lW4KobZg,,
エイト物流株式会社,0,エイト物流株式会社は、一般貨物の運送を行う企業である。主に貸切輸送を中心としてルート配送や小口配送など顧客のニーズに合わせた運送サービスを提供している。また貨物は自社の倉庫内で保管し、出入庫の管理等も一貫して行なっている。またこの他に顧客企業の工場や倉庫などでの物流業務を請け負う、アウトソーシング事業も手掛けている。,"運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 350-1331 埼玉県狭山市新狭山3丁目5番6号,1986/3/1,奥冨 隆裕,"10,000,000円",運送業,https://biz-maps.com/item/qKYM7JD0lg,,https://eight-logistics.jp/contact/
有限会社エース商会,0,有限会社エース商会は、運送業、引っ越し業務を行う会社である。本社のほか、業務拡張にともない、狭山営業所、栃木県内に営業所を新設した。また、狭山市内に3か所、車庫を保有している。軽貨物から2t・3tトラックがあり、プランニングから運送までリーズナブルな価格で対応している。全国各地へ引っ越し・運送を行っている。,"運輸・物流業界, 一般貨物輸送, 引越し",〒 350-1305 埼玉県狭山市入間川2丁目15番4号,1985/5,加藤 尚男,"10,000,000円","事業再構築補助金(第4回採択結果), 3月決算企業(従業員30_100名)@東京・神奈川・千葉・埼玉, 運送業",https://biz-maps.com/item/D0YL80JzY9,,
サンコウ物流株式会社,0,サンコウ物流株式会社は、一般貨物の輸送業務を行っている会社である。引越し業務にも携わっている。2tロング車および4tウイング車を所有しており、機材や家具の運搬を行っている。また、家電量販店の貨物ルート配送も手掛けており、対象となる貨物は、洗濯機、冷蔵庫、オーディオ機器などである。この他には、ゲーム機や精密機器の配送業務も引き受けている。,"運輸・物流業界, 一般貨物輸送, 機械輸送",〒 344-0001 埼玉県春日部市不動院野522番地1,2005/12/5,大木 宏明,"7,000,000円","ドラEVER掲載企業, 運送業, ドラEVER掲載企業",https://biz-maps.com/item/KL1maWaL1y,,https://sankou2005.com/contact.html
有限会社古川急送,0,有限会社古川急送は、一般貨物自動車運送業やとび土工工事及び産業廃棄物収集運搬業などを行う会社である。ユニック車にて、仮設資材全般の配送を最も得意分野としている。ウイングや平ボディをはじめ重機回送車や冷凍車及び各種専用車などを揃え、物品を問わず顧客のニーズに合わせサービスの提供を行っている。主要取引先は、大成建設株式会社や加濃建設株式会社である。,"運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 369-0023 埼玉県所沢市東所沢和田3丁目11番地の4,2003/2/7,古川 秀晴,"10,000,000円",-,https://biz-maps.com/item/L3Z7EWR61O,,http://furukawakyusou.com/contact.html
タツミトランスポート株式会社,0,タツミトランスポート株式会社は、海上コンテナ輸送等を事業とする会社である。貨物運送業取扱業・荷造包装業務を事業としており、海上コンテナ輸送を主に行っている。環境に配慮した「地球にやさしいクリーンな物流」を意識し社会から信頼される総合物流企業を目指し事業を展開している。取引銀行は、埼玉りそな銀行・東和銀行。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 359-0001 埼玉県所沢市下富857番地の6,2004/1/8,小笠原 龍実,-,"求人ボックス(海上コンテナの仕事×東京・神奈川検索), 求人ジャーナルネット, 運送業",https://biz-maps.com/item/3eYPpaWXYE,,
株式会社中伸運輸,0,株式会社中伸運輸は、各種運送業務を行う会社である。一般貨物自動車運送事業および貨物軽自動車運送事業を行っている。また、荷物の倉庫保管事業や梱包および包装にも対応している。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 358-0014 埼玉県入間市宮寺3013-1,1978/2/1,滝 捷夫,"10,000,000円",-,https://biz-maps.com/item/WBlxmKQwZ8,,https://naka-shin.com/contact.php
